Nationality,Gender,customer_age,years_in_operation,has_insurance,active_loan_holder,has_internet_banking,has_debit_card,credit_card_ownership,compliance_income_tax,current_problem_cash_flow,liquidity_constraint,uses_informal_lender,uses_friends_family_savings,funding_access_barrier,mobile_wallet_access,extends_customer_credit,inventory_shrinkage_risk,financial_tracking,log_gross_income,log_operating_expense,log_business_sales,profit_margin,revenue_efficiency,financial_stress_score,formality_score,digital_access_score,insurance_gap,extends_credit,survey_coverage,cluster
DRC,Not Surveyed,65.0,2.0,Not Surveyed,Used to have but don't have now,Used to have but don't have now,Have now,Not Surveyed,No,Yes,Not Surveyed,Used to have but don't have now,Used to have but don't have now,Yes,Have now,Not Surveyed,Yes,Not Surveyed,5.707110264748875,5.5254529391317835,6.68586094706836,0.1816573256170919,0.7425466455941745,2.5,1.6666666666666665,1,1,0,0.7,Stable_Formal
DRC,Not Surveyed,20.0,0.0,Not Surveyed,Used to have but don't have now,Have now,Have now,Not Surveyed,No,Yes,Not Surveyed,Used to have but don't have now,Used to have but don't have now,No,Have now,Not Surveyed,Yes,Not Surveyed,5.707110264748875,5.303304908059076,5.303304908059076,0.40380535668979967,0.905415547556975,1.25,3.333333333333333,2,1,0,0.7,Stable_Formal
DRC,Not Surveyed,49.0,7.0,Not Surveyed,Used to have but don't have now,Have now,Have now,Not Surveyed,No,Yes,Not Surveyed,Never had,Never had,No,Have now,Not Surveyed,Yes,Not Surveyed,8.699681400989514,8.412054873292933,8.853808274977197,0.28762652769658104,0.8828750426453417,1.25,3.333333333333333,2,1,0,0.7,Stable_Formal
Ghana,Male,62.0,13.0,No,Never had,Never had,Never had,Never had,No,Yes,Yes,Never had,Never had,Yes,Have now,Yes - sometimes,Not Surveyed,Yes - always,7.844240718141811,10.138599199626192,10.491301994830229,-2.294358481484381,0.6826241901632053,3.0,0.0,1,0,1,1.0,Established_Veterans
Ghana,Female,47.0,3.0,No,Never had,Never had,Never had,Never had,No,No,Yes,Never had,Never had,Yes,Never had,No,Not Surveyed,No,4.795790545596741,4.61512051684126,4.584967478670572,0.18067002875548166,0.8586962348325645,2.0,0.0,0,0,0,1.0,Large_Informal
DRC,Not Surveyed,54.0,3.0,Not Surveyed,Used to have but don't have now,Used to have but don't have now,Have now,Not Surveyed,No,Yes,Not Surveyed,Used to have but don't have now,Used to have but don't have now,No,Have now,Not Surveyed,Yes,Not Surveyed,5.017279836814924,4.61512051684126,5.707110264748875,0.4021593199736646,0.7480538769706329,1.25,1.6666666666666665,1,1,0,0.7,Stable_Formal
Ghana,Female,26.0,0.0,No,Never had,Never had,Never had,Never had,No,Yes,Yes,Never had,Never had,Yes,Have now,Yes - sometimes,Not Surveyed,Yes - always,8.006700845440367,9.61587214452889,9.741027444837728,-1.6091712990885227,0.7454315601147158,3.0,0.0,1,0,1,1.0,Large_Informal
DRC,Not Surveyed,27.0,3.0,Not Surveyed,Used to have but don't have now,Have now,Have now,Not Surveyed,No,Yes,Not Surveyed,Used to have but don't have now,Used to have but don't have now,No,Have now,Not Surveyed,Yes,Not Surveyed,4.584967478670572,4.584967478670572,7.00397413672268,0.0,0.5728363685777652,1.25,3.333333333333333,2,1,0,0.7,Stable_Formal
Kenya,Female,45.0,4.0,No,Never had,Never had,Never had,Never had,Yes,No,No,Never had,Never had,Yes,Have now,Yes - sometimes,No,No,13.017005083966255,12.206077645517674,15.501909696719672,0.8109274384485818,0.7888181018560438,1.0,1.0,1,0,1,1.0,Large_Informal
Ghana,Female,46.0,15.0,No,Never had,Never had,Never had,Never had,No,No,No,Never had,Never had,Yes,Never had,Yes - sometimes,Not Surveyed,Yes - sometimes,8.699681400989514,8.699681400989514,9.798182590890704,0.0,0.805661631275667,1.0,0.0,0,0,1,1.0,Large_Informal
Uganda,Female,47.0,20.0,No,Not Surveyed,Not Surveyed,Not Surveyed,Never had,No,Yes,No,Not Surveyed,Not Surveyed,Not Surveyed,Have now,No,Yes,No,3.044522437723423,3.9318256327243257,9.575052927597383,-0.8873031950009027,0.2878966619427718,2.5,0.0,1,1,0,0.5,High_Risk_Informal
Uganda,Male,52.0,1.0,Yes,Not Surveyed,Not Surveyed,Not Surveyed,Never had,No,No,Yes,Not Surveyed,Not Surveyed,Not Surveyed,Have now,Yes - sometimes,Yes,Yes - always,5.017279836814924,7.0909098220799835,8.006700845440367,-2.0736299852650593,0.557060784288724,2.5,1.6666666666666665,1,0,1,0.5,Stable_Formal
Kenya,Male,32.0,2.0,No,Never had,Never had,Never had,Never had,No,No,Yes,Never had,Never had,Yes,Never had,Yes - sometimes,No,Yes - always,13.122365377402328,12.04355959836804,13.017005083966255,1.0788057790342886,0.9361746891575801,2.0,0.0,0,0,1,1.0,Large_Informal
Uganda,Female,33.0,0.0,No,Not Surveyed,Not Surveyed,Not Surveyed,Never had,No,Yes,Yes,Not Surveyed,Not Surveyed,Not Surveyed,Have now,Yes - sometimes,No,No,4.110873864173311,6.175867270105761,6.580639137284949,-2.0649934059324497,0.5422859193961903,5.0,0.0,1,0,1,0.5,High_Risk_Informal
Uganda,Female,52.0,12.0,No,Not Surveyed,Not Surveyed,Not Surveyed,Never had,No,Yes,No,Not Surveyed,Not Surveyed,Not Surveyed,Have now,Yes - sometimes,No,No,4.330733340286331,6.2166061010848646,7.313886831633462,-1.8858727607985335,0.5209035710960545,2.5,0.0,1,0,1,0.5,High_Risk_Informal
Ghana,Female,39.0,9.0,No,Never had,Never had,Never had,Never had,No,No,Yes,Never had,Never had,Yes,Have now,Yes - sometimes,Not Surveyed,Yes - always,7.313886831633462,8.006700845440367,10.645448706505872,-0.6928140138069052,0.6280468031727682,2.0,0.0,1,0,1,1.0,Large_Informal
Kenya,Male,34.0,2.0,No,Never had,Never had,Never had,Never had,No,No,Yes,Never had,Never had,No,Never had,Yes - sometimes,No,No,12.206077645517674,13.997832948091215,14.690979711984754,-1.7917553025735415,0.7779041123987105,1.0,0.0,0,0,1,1.0,Large_Informal
Ghana,Female,37.0,1.0,No,Never had,Never had,Never had,Never had,No,No,Yes,Never had,Never had,Yes,Never had,No,Not Surveyed,No,6.90875477931522,6.90875477931522,7.601402334583733,0.0,0.8032126054070428,2.0,0.0,0,0,0,1.0,Large_Informal
Uganda,Male,42.0,6.0,No,Not Surveyed,Not Surveyed,Not Surveyed,Never had,No,Yes,Yes,Not Surveyed,Not Surveyed,Not Surveyed,Have now,Yes - sometimes,No,Yes - sometimes,4.61512051684126,6.803505257608338,7.0909098220799835,-2.188384740767078,0.5704081022194387,5.0,0.0,1,0,1,0.5,High_Risk_Informal
Uganda,Female,45.0,5.0,No,Not Surveyed,Not Surveyed,Not Surveyed,Never had,No,Yes,No,Not Surveyed,Not Surveyed,Not Surveyed,Have now,No,No,No,3.044522437723423,4.110873864173311,5.484796933490655,-1.0663514264498883,0.4694861641696171,2.5,0.0,1,0,0,0.5,High_Risk_Informal
Uganda,Male,28.0,5.0,No,Not Surveyed,Not Surveyed,Not Surveyed,Used to have but don't have now,No,Yes,Yes,Not Surveyed,Not Surveyed,Not Surveyed,Have now,No,No,Yes - sometimes,5.017279836814924,7.496097345175956,8.188966863648876,-2.4788175083610318,0.5460113102228118,5.0,0.0,1,0,0,0.5,High_Risk_Informal
Kenya,Male,47.0,1.0,No,Never had,Never had,Never had,Never had,Yes,No,Yes,Never had,Never had,No,Have now,Yes - sometimes,No,Yes - always,14.953343880298434,13.122365377402328,17.011936294903045,1.8309785028961052,0.8301908043351163,1.0,1.0,1,0,1,1.0,Large_Informal
Kenya,Male,38.0,2.0,No,Never had,Used to have but don't have now,Have now,Have now,No,No,Yes,Never had,Never had,No,Have now,No,No,Yes - always,14.731801689838349,13.592368256649284,13.815511557963774,1.1394334331890654,0.9943498496290243,1.0,1.0,1,0,0,1.0,Large_Informal
DRC,Not Surveyed,69.0,4.0,Not Surveyed,Used to have but don't have now,Used to have but don't have now,Have now,Not Surveyed,No,Yes,Not Surveyed,Never had,Used to have but don't have now,No,Have now,Not Surveyed,Yes,Not Surveyed,7.170888478512505,5.14166355650266,5.707110264748875,2.0292249220098446,1.0691472475413366,1.25,1.6666666666666665,1,1,0,0.7,Stable_Formal
Kenya,Male,52.0,36.0,No,Never had,Never had,Never had,Never had,Yes,Yes,Yes,Never had,Have now,Yes,Have now,Yes - sometimes,Yes,Yes - always,12.899222326086994,11.918397239722838,12.611541086966115,0.9808250863641561,0.9476680299219601,4.0,1.0,1,1,1,1.0,Established_Veterans
Ghana,Male,28.0,2.0,No,Never had,Never had,Never had,Never had,Yes,Yes,Yes,Never had,Never had,Yes,Have now,No,Not Surveyed,No,8.517393171418904,9.61587214452889,10.12667110305036,-1.0984789731099855,0.765493389041029,3.0,1.0,1,0,0,1.0,Large_Informal
Ghana,Male,59.0,0.0,No,Never had,Never had,Have now,Never had,No,Yes,Yes,Never had,Never had,Yes,Have now,No,Not Surveyed,Yes - always,8.517393171418904,6.90875477931522,7.783640596221253,1.6086383921036838,0.9696882605924371,3.0,1.0,1,0,0,1.0,Large_Informal
Kenya,Male,53.0,8.0,No,Have now,Never had,Have now,Never had,Yes,No,Yes,Never had,Never had,No,Have now,Yes - sometimes,No,Yes - always,12.323860125621126,10.545367754151743,14.80876270134486,1.7784923714693832,0.7795588028260256,1.0,2.0,1,0,1,1.0,Stable_Formal
Uganda,Female,25.0,6.0,No,Not Surveyed,Not Surveyed,Not Surveyed,Never had,No,Yes,No,Not Surveyed,Not Surveyed,Not Surveyed,Have now,No,Yes,Yes - sometimes,5.916202062607435,7.783640596221253,8.188966863648876,-1.867438533613818,0.6438375663331266,2.5,0.0,1,1,0,0.5,High_Risk_Informal
Kenya,Male,31.0,3.0,No,Never had,Never had,Never had,Never had,No,No,Yes,Never had,Never had,Yes,Have now,No,Yes,Yes - always,10.308985993422082,12.206077645517674,10.463131911491967,-1.8970916520955914,0.8993167027143049,2.0,0.0,1,1,0,1.0,Large_Informal
Ghana,Female,46.0,5.0,No,Never had,Never had,Never had,Never had,No,Yes,Yes,Never had,Never had,Yes,Have now,Yes - sometimes,Not Surveyed,No,6.90875477931522,8.006700845440367,8.699681400989514,-1.0979460661251466,0.7122661553203617,3.0,0.0,1,0,1,1.0,Large_Informal
DRC,Not Surveyed,39.0,4.0,Not Surveyed,Used to have but don't have now,Used to have but don't have now,Have now,Not Surveyed,No,Yes,Not Surveyed,Never had,Have now,No,Have now,Not Surveyed,Yes,Not Surveyed,7.313886831633462,4.110873864173311,6.2166061010848646,3.2030129674601504,1.0134801219833758,2.5,1.6666666666666665,1,1,0,0.7,Stable_Formal
Uganda,Female,32.0,10.0,No,Not Surveyed,Not Surveyed,Not Surveyed,Never had,No,Yes,Yes,Not Surveyed,Not Surveyed,Not Surveyed,Have now,Yes - sometimes,No,No,5.993961427306569,8.253488028345904,8.476579508530941,-2.259526601039335,0.6325026262810043,5.0,0.0,1,0,1,0.5,High_Risk_Informal
Kenya,Male,49.0,5.0,No,Never had,Never had,Never had,Never had,No,No,Yes,Never had,Never had,No,Have now,Yes - sometimes,No,No,12.206077645517674,11.695255355062795,12.206077645517674,0.5108222904548789,0.9242772890753513,1.0,0.0,1,0,1,1.0,Large_Informal
Kenya,Male,47.0,20.0,No,Never had,Never had,Never had,Never had,No,No,Yes,Never had,Never had,Yes,Never had,Yes - sometimes,Yes,No,10.819798284210286,9.90353755128617,10.819798284210286,0.9162607329241155,0.9153961873159993,2.0,0.0,0,1,1,1.0,Established_Veterans
Uganda,Male,44.0,8.0,No,Not Surveyed,Not Surveyed,Not Surveyed,Never had,No,Yes,Yes,Not Surveyed,Not Surveyed,Not Surveyed,Have now,Yes - sometimes,No,No,3.9318256327243257,8.517393171418904,11.002116507732017,-4.585567538694578,0.32759435639467094,5.0,0.0,1,0,1,0.5,High_Risk_Informal
Uganda,Male,46.0,27.0,No,Not Surveyed,Not Surveyed,Not Surveyed,Never had,No,Yes,Yes,Not Surveyed,Not Surveyed,Not Surveyed,Have now,Yes - sometimes,No,No,3.58351893845611,6.580639137284949,7.783640596221253,-2.9971201988288394,0.40797649894711646,5.0,0.0,1,0,1,0.5,High_Risk_Informal
DRC,Not Surveyed,35.0,7.0,Not Surveyed,Have now,Used to have but don't have now,Have now,Not Surveyed,Yes,Yes,Not Surveyed,Used to have but don't have now,Used to have but don't have now,Yes,Have now,Not Surveyed,Yes,Not Surveyed,6.90875477931522,12.73670383776449,12.971542813248437,-5.827949058449269,0.4944876075363726,2.5,3.333333333333333,1,1,0,0.7,Stable_Formal
Uganda,Male,29.0,0.0,No,Not Surveyed,Not Surveyed,Not Surveyed,Never had,No,Yes,Yes,Not Surveyed,Not Surveyed,Not Surveyed,Have now,Yes - sometimes,Yes,Yes - sometimes,8.412054873292933,10.085850775128717,10.491301994830229,-1.6737959018357849,0.7320367071614161,5.0,0.0,1,1,1,0.5,High_Risk_Informal
Ghana,Female,56.0,2.0,No,Never had,Never had,Never had,Never had,No,No,Yes,Never had,Never had,Yes,Never had,Yes - sometimes,Not Surveyed,No,6.2166061010848646,5.707110264748875,6.7464121285733745,0.5094958363359892,0.8025142476159156,2.0,0.0,0,0,1,1.0,Large_Informal
DRC,Not Surveyed,61.0,3.0,Not Surveyed,Used to have but don't have now,Have now,Have now,Not Surveyed,Don't know,Yes,Not Surveyed,Never had,Used to have but don't have now,No,Have now,Not Surveyed,Yes,Not Surveyed,10.896757843893464,8.517393171418904,10.12667110305036,2.3793646724745603,0.9793367434853121,1.25,3.333333333333333,2,1,0,0.7,Stable_Formal
Kenya,Female,30.0,15.0,No,Have now,Never had,Have now,Never had,No,No,Yes,Never had,Never had,No,Have now,No,Yes,Yes - always,11.51293546492023,13.42246945133505,13.710151153416941,-1.9095339864148215,0.7826524244957165,1.0,1.0,1,1,0,1.0,Large_Informal
Ghana,Male,55.0,2.0,No,Never had,Never had,Never had,Never had,No,No,Yes,Never had,Never had,Yes,Have now,No,Not Surveyed,Yes - sometimes,7.496097345175956,8.517393171418904,8.77971129020447,-1.0212958262429481,0.7664947484374287,2.0,0.0,1,0,0,1.0,Large_Informal
DRC,Not Surveyed,31.0,4.0,Not Surveyed,Used to have but don't have now,Used to have but don't have now,Have now,Not Surveyed,No,Yes,Not Surveyed,Used to have but don't have now,Used to have but don't have now,No,Have now,Not Surveyed,Yes,Not Surveyed,9.04793908261736,8.517393171418904,9.105090961257085,0.5305459111984554,0.8953842293263025,1.25,1.6666666666666665,1,1,0,0.7,Stable_Formal
DRC,Not Surveyed,32.0,2.0,Not Surveyed,Used to have but don't have now,Used to have but don't have now,Have now,Not Surveyed,No,Yes,Not Surveyed,Used to have but don't have now,Used to have but don't have now,Yes,Have now,Not Surveyed,Yes,Not Surveyed,7.601402334583733,5.707110264748875,6.2166061010848646,1.894292069834858,1.053320941743103,2.5,1.6666666666666665,1,1,0,0.7,Stable_Formal
Uganda,Female,44.0,5.0,No,Not Surveyed,Not Surveyed,Not Surveyed,Never had,No,Yes,Yes,Not Surveyed,Not Surveyed,Not Surveyed,Have now,Yes - sometimes,No,No,3.4339872044851463,6.042632833682381,6.734591659972948,-2.608645629197235,0.44397782784788364,5.0,0.0,1,0,1,0.5,High_Risk_Informal
Ghana,Female,36.0,2.0,No,Never had,Never had,Never had,Never had,No,Yes,Yes,Never had,Never had,Yes,Have now,No,Not Surveyed,Yes - sometimes,7.824445930877619,7.696667081526462,7.937731775260109,0.12777884935115758,0.875439779087565,3.0,0.0,1,0,0,1.0,Large_Informal
Ghana,Male,51.0,24.0,No,Never had,Never had,Never had,Never had,No,Yes,Yes,Never had,Never had,Yes,Never had,No,Not Surveyed,Yes - always,8.517393171418904,8.006700845440367,11.002116507732017,0.5106923259785372,0.7096575979688099,3.0,0.0,0,0,0,1.0,Established_Veterans
Kenya,Female,44.0,8.0,No,Never had,Never had,Never had,Never had,No,No,Yes,Never had,Never had,Yes,Have now,No,Yes,Yes - always,12.948012371209098,11.156264806643742,15.43291683846023,1.7917475645653553,0.7879314730605265,2.0,0.0,1,1,0,1.0,Large_Informal
Kenya,Female,39.0,3.0,No,Never had,Never had,Never had,Never had,No,No,Yes,Never had,Never had,No,Have now,Yes - sometimes,No,No,7.601402334583733,7.601402334583733,8.294299608857235,0.0,0.817856390958151,1.0,0.0,1,0,1,1.0,Large_Informal
DRC,Not Surveyed,34.0,0.0,Not Surveyed,Used to have but don't have now,Used to have but don't have now,Have now,Not Surveyed,No,Yes,Not Surveyed,Never had,Have now,Yes,Have now,Not Surveyed,Yes,Not Surveyed,8.160803920954665,7.601402334583733,8.160803920954665,0.5594015863709316,0.890839274737387,3.75,1.6666666666666665,1,1,0,0.7,Stable_Formal
Ghana,Female,38.0,1.0,No,Never had,Never had,Never had,Never had,No,Yes,Yes,Never had,Used to have but don't have now,Yes,Used to have but don't have now,No,Not Surveyed,No,7.650168700845001,6.398594934535208,6.68586094706836,1.251573766309793,0.9953561160591939,3.0,0.0,0,0,0,1.0,Large_Informal
Uganda,Female,40.0,6.0,No,Not Surveyed,Not Surveyed,Not Surveyed,Never had,No,Yes,Yes,Not Surveyed,Not Surveyed,Not Surveyed,Have now,Yes - sometimes,Yes,No,5.303304908059076,7.496097345175956,8.343077871169383,-2.1927924371168803,0.5676186136073927,5.0,0.0,1,1,1,0.5,High_Risk_Informal
Uganda,Male,44.0,15.0,Yes,Not Surveyed,Not Surveyed,Not Surveyed,Never had,No,No,Yes,Not Surveyed,Not Surveyed,Not Surveyed,Have now,Yes - always,Yes,Yes - always,6.2166061010848646,7.824445930877619,8.699681400989514,-1.6078398297927547,0.6409082777142223,2.5,1.6666666666666665,1,0,1,0.5,Stable_Formal
Kenya,Female,39.0,2.0,No,Never had,Never had,Never had,Never had,No,Yes,No,Never had,Used to have but don't have now,No,Have now,Yes - sometimes,No,Yes - always,12.34148164933907,14.414347608503377,14.82638429622533,-2.0728659591643073,0.7798042445034381,1.0,0.0,1,0,1,1.0,Large_Informal
Uganda,Male,42.0,1.0,No,Not Surveyed,Not Surveyed,Not Surveyed,Never had,No,Yes,Yes,Not Surveyed,Not Surveyed,Not Surveyed,Have now,No,Yes,No,5.017279836814924,8.517393171418904,8.517393171418904,-3.50011333460398,0.5271695459510917,5.0,0.0,1,1,0,0.5,High_Risk_Informal
Ghana,Female,52.0,4.0,No,Have now,Never had,Have now,Never had,Yes,Yes,Yes,Never had,Never had,Yes,Have now,Yes - sometimes,Not Surveyed,Yes - always,7.601402334583733,6.2166061010848646,7.998335395952982,1.3847962334988688,0.8447565021862242,3.0,2.0,1,0,1,1.0,Stable_Formal
Kenya,Male,52.0,7.0,No,Never had,Have now,Have now,Have now,Yes,No,Yes,Never had,Never had,Yes,Have now,Yes - always,Yes,Yes - always,14.508658238524095,15.894952224644102,16.300417291085605,-1.3862939861200072,0.8386305367327745,2.0,3.0,2,1,1,1.0,Stable_Formal
Ghana,Female,69.0,1.0,No,Used to have but don't have now,Never had,Never had,Never had,No,Yes,Yes,Never had,Have now,Yes,Have now,Yes - sometimes,Not Surveyed,No,6.2166061010848646,7.601402334583733,8.006700845440367,-1.3847962334988688,0.6902201158631814,4.0,0.0,1,0,1,1.0,Large_Informal
Ghana,Female,23.0,1.0,No,Never had,Never had,Never had,Never had,No,No,No,Never had,Never had,Yes,Have now,Yes - sometimes,Not Surveyed,Yes - sometimes,7.824445930877619,7.0909098220799835,7.741099090035366,0.7335361087976358,0.8951329632903134,1.0,0.0,1,0,1,1.0,Large_Informal
Ghana,Male,26.0,2.0,No,Never had,Never had,Never had,Never had,No,Yes,Yes,Never had,Never had,Yes,Have now,No,Not Surveyed,Yes - always,8.006700845440367,9.105090961257085,7.170888478512505,-1.0983901158167182,0.9799057797075663,3.0,0.0,1,0,0,1.0,Large_Informal
DRC,Not Surveyed,56.0,23.0,Not Surveyed,Used to have but don't have now,Used to have but don't have now,Have now,Not Surveyed,No,Yes,Not Surveyed,Used to have but don't have now,Never had,Yes,Have now,Not Surveyed,Yes,Not Surveyed,8.294299608857235,5.303304908059076,7.601402334583733,2.9909947007981597,0.9642962026678222,2.5,1.6666666666666665,1,1,0,0.7,Established_Veterans
Kenya,Female,35.0,5.0,No,Never had,Never had,Never had,Never had,No,No,Yes,Never had,Never had,Yes,Have now,Yes - sometimes,No,Yes - always,11.289794413577894,8.987321812850125,9.61587214452889,2.3024726007277696,1.0634825156024816,2.0,0.0,1,0,1,1.0,Large_Informal
DRC,Not Surveyed,68.0,36.0,Not Surveyed,Used to have but don't have now,Used to have but don't have now,Used to have but don't have now,Not Surveyed,No,Yes,Not Surveyed,Used to have but don't have now,Have now,No,Have now,Not Surveyed,Yes,Not Surveyed,7.0909098220799835,5.707110264748875,6.647688373563329,1.3837995573311082,0.9271964907189435,2.5,0.0,1,1,0,0.7,Established_Veterans
Ghana,Female,54.0,15.0,No,Never had,Never had,Never had,Never had,No,Yes,Yes,Never had,Never had,Yes,Have now,No,Not Surveyed,Yes - sometimes,6.55250788703459,5.860786223465865,6.90875477931522,0.6917216635687247,0.8285132198272481,3.0,0.0,1,0,0,1.0,Established_Veterans
Uganda,Female,32.0,6.0,No,Not Surveyed,Not Surveyed,Not Surveyed,Never had,No,Yes,No,Not Surveyed,Not Surveyed,Not Surveyed,Have now,No,No,No,5.5254529391317835,6.90875477931522,8.006700845440367,-1.383301840183437,0.6134824542250716,2.5,0.0,1,0,0,0.5,High_Risk_Informal
Uganda,Female,62.0,4.0,No,Not Surveyed,Not Surveyed,Not Surveyed,Never had,No,Yes,Yes,Not Surveyed,Not Surveyed,Not Surveyed,Have now,Yes - sometimes,No,No,5.860786223465865,4.51085950651685,7.496097345175956,1.3499267169490157,0.6898209831356973,5.0,0.0,1,0,1,0.5,High_Risk_Informal
Kenya,Male,36.0,9.0,No,Never had,Never had,Have now,Never had,No,No,No,Never had,Never had,No,Have now,No,Yes,No,12.206077645517674,10.596659732783579,11.51293546492023,1.609417912734095,0.9754767520169167,0.0,1.0,1,1,0,1.0,Large_Informal
Kenya,Male,23.0,5.0,No,Never had,Never had,Never had,Never had,No,Yes,Yes,Used to have but don't have now,Used to have but don't have now,No,Never had,Yes - sometimes,No,No,11.51293546492023,11.002116507732017,10.308985993422082,0.5108189571882118,1.0180342845606825,2.0,0.0,0,0,1,1.0,Large_Informal
Uganda,Male,42.0,13.0,No,Not Surveyed,Not Surveyed,Not Surveyed,Never had,No,Yes,Yes,Not Surveyed,Not Surveyed,Not Surveyed,Have now,No,Yes,No,7.313886831633462,9.036106025364846,9.923339198238729,-1.7222191937313847,0.6695651118123978,5.0,0.0,1,1,0,0.5,High_Risk_Informal
DRC,Not Surveyed,60.0,2.0,Not Surveyed,Used to have but don't have now,Used to have but don't have now,Have now,Not Surveyed,No,Yes,Not Surveyed,Used to have but don't have now,Used to have but don't have now,Yes,Have now,Not Surveyed,Yes,Not Surveyed,4.584967478670572,4.584967478670572,4.584967478670572,0.0,0.8209479278403897,2.5,1.6666666666666665,1,1,0,0.7,Stable_Formal
Uganda,Male,42.0,2.0,No,Not Surveyed,Not Surveyed,Not Surveyed,Never had,No,Yes,Yes,Not Surveyed,Not Surveyed,Not Surveyed,Have now,No,No,Yes - always,5.707110264748875,7.0909098220799835,8.188966863648876,-1.3837995573311082,0.6210829083872244,5.0,0.0,1,0,0,0.5,High_Risk_Informal
DRC,Not Surveyed,53.0,9.0,Not Surveyed,Used to have but don't have now,Used to have but don't have now,Have now,Not Surveyed,No,Yes,Not Surveyed,Used to have but don't have now,Used to have but don't have now,No,Have now,Not Surveyed,Yes,Not Surveyed,7.313886831633462,6.85751406254539,7.8636512654486515,0.45637276908807145,0.8251550757805287,1.25,1.6666666666666665,1,1,0,0.7,Stable_Formal
Kenya,Female,48.0,1.0,No,Never had,Never had,Never had,Never had,No,Yes,Yes,Used to have but don't have now,Used to have but don't have now,Yes,Never had,Yes - sometimes,Yes,No,11.082157933374816,10.596659732783579,11.082157933374816,0.4854982005912376,0.9172333282254425,3.0,0.0,0,1,1,1.0,Large_Informal
Uganda,Female,40.0,10.0,No,Not Surveyed,Not Surveyed,Not Surveyed,Never had,No,Yes,No,Not Surveyed,Not Surveyed,Not Surveyed,Have now,Yes - sometimes,Yes,No,4.02535169073515,7.496097345175956,7.0909098220799835,-3.4707456544408064,0.4975153325464115,2.5,0.0,1,1,1,0.5,High_Risk_Informal
Ghana,Female,55.0,2.0,No,Never had,Never had,Never had,Never had,Yes,Yes,Yes,Never had,Never had,Yes,Never had,No,Not Surveyed,No,8.006700845440367,9.210440366976517,10.778977123006351,-1.20373952153615,0.6797450034775867,3.0,1.0,0,0,0,1.0,Large_Informal
Kenya,Female,23.0,5.0,No,Never had,Never had,Never had,Never had,No,No,Yes,Never had,Never had,Yes,Have now,No,Yes,No,11.407576060361786,8.699681400989514,11.407576060361786,2.707894659372272,0.9194040806088888,2.0,0.0,1,1,0,1.0,Large_Informal
Kenya,Male,42.0,7.0,Yes,Never had,Never had,Have now,Have now,Yes,No,Yes,Never had,Never had,Yes,Have now,No,No,Yes - always,11.156264806643742,12.429220196836383,14.508658238524095,-1.2729553901926405,0.7193571897104004,2.0,3.0,1,0,0,1.0,Stable_Formal
Uganda,Female,33.0,9.0,No,Not Surveyed,Not Surveyed,Not Surveyed,Never had,No,Yes,Yes,Not Surveyed,Not Surveyed,Not Surveyed,Have now,No,No,No,5.707110264748875,7.0909098220799835,8.188966863648876,-1.3837995573311082,0.6210829083872244,5.0,0.0,1,0,0,0.5,High_Risk_Informal
Kenya,Male,42.0,11.0,No,Never had,Never had,Never had,Never had,No,No,Yes,Never had,Never had,Yes,Have now,Yes - sometimes,Yes,No,13.07107218827772,15.201805169084134,15.56644820628317,-2.130732980806414,0.7890087256796688,2.0,0.0,1,1,1,1.0,Large_Informal
Uganda,Female,24.0,1.0,No,Not Surveyed,Not Surveyed,Not Surveyed,Never had,No,Yes,No,Not Surveyed,Not Surveyed,Not Surveyed,Have now,Yes - sometimes,No,Yes - sometimes,4.61512051684126,6.8679744089702925,6.398594934535208,-2.252853892129033,0.6237833747727926,2.5,0.0,1,0,1,0.5,High_Risk_Informal
Ghana,Male,51.0,8.0,No,Have now,Never had,Have now,Never had,Yes,No,Yes,Never had,Used to have but don't have now,Yes,Never had,No,Not Surveyed,Yes - always,9.90353755128617,10.714439990727769,11.082157933374816,-0.8109024394415982,0.819682841914308,2.0,2.0,0,0,0,1.0,Stable_Formal
Uganda,Male,38.0,0.0,No,Not Surveyed,Not Surveyed,Not Surveyed,Never had,No,Yes,No,Not Surveyed,Not Surveyed,Not Surveyed,Have now,Yes - sometimes,No,Yes - sometimes,4.61512051684126,5.707110264748875,7.83241092718792,-1.0919897479076157,0.5225210369951199,2.5,0.0,1,0,1,0.5,High_Risk_Informal
DRC,Not Surveyed,41.0,0.0,Not Surveyed,Used to have but don't have now,Used to have but don't have now,Have now,Not Surveyed,No,Yes,Not Surveyed,Used to have but don't have now,Used to have but don't have now,Yes,Have now,Not Surveyed,Yes,Not Surveyed,6.111467339502679,4.61512051684126,6.111467339502679,1.496346822661419,0.8593820442027184,2.5,1.6666666666666665,1,1,0,0.7,Stable_Formal
Uganda,Male,45.0,5.0,No,Not Surveyed,Not Surveyed,Not Surveyed,Never had,Yes,Yes,Yes,Not Surveyed,Not Surveyed,Not Surveyed,Have now,Yes - always,Yes,Yes - always,8.881975184248867,7.783640596221253,8.699681400989514,1.0983345880276145,0.9156976210932838,5.0,1.6666666666666665,1,1,1,0.5,Stable_Formal
Uganda,Female,42.0,2.0,No,Not Surveyed,Not Surveyed,Not Surveyed,Never had,No,Yes,Yes,Not Surveyed,Not Surveyed,Not Surveyed,Have now,No,No,No,5.017279836814924,7.0909098220799835,8.006700845440367,-2.0736299852650593,0.557060784288724,5.0,0.0,1,0,0,0.5,High_Risk_Informal
